session_id,anchor_id,attempt_id,t_start,t_end,t_acc,service_state,is_positive,tau1,tau2,delta_tau,gate,q_track,eta,err_plan,err_yaw,conf,haz,conferr,failure_class
1,1,1,11.0,19.0,11.539085125237037,OK,1,0.914667881611348,0.6084700019773561,0.3061978796339918,1,0.9510515284806528,0.8096056983613479,0.2721501803486789,0.1643410529416712,1,0,0,успех
1,2,1,26.0,34.0,inf,OK,1,0.8514394477308402,0.7372478692821384,0.1141915784487018,0,0.8741962271566034,0.6302946239171782,,,0,0,0,не принял
1,1,2,41.0,49.0,inf,OK,0,0.2734384515187317,0.1165937567853606,0.156844694733371,0,0.7937712470759027,0.5204063706410642,,,0,0,0,не принял
1,1,3,7.672162335862301,10.840740930003172,9.598836475860958,OK,1,0.6289376203411537,0.3433848319232497,0.285552788417904,1,0.8433107107651839,0.6144984297438889,0.2332308457568296,0.1867035547395816,0,0,0,успех
1,2,2,33.41496685457911,36.09706334932828,inf,OK,1,0.8088114643231081,0.553541556369461,0.2552699079536471,0,0.7074137366389283,0.5899041965121793,,,0,0,0,не принял
1,2,3,27.23473005611986,29.37228414058073,inf,OK,0,0.4927366496394504,0.3237313013944947,0.1690053482449556,0,0.8767218695907347,0.6557366920403719,,,0,0,0,не принял
1,2,4,17.144109184917603,21.224381269628847,inf,OK,0,0.4818037512676899,0.2391034406041958,0.242700310663494,0,0.8562365979264634,0.4807720926652354,,,0,0,0,не принял
2,1,1,11.0,19.0,inf,OK,1,0.8533192110120813,0.7083470498912177,0.1449721611208636,0,0.6916705786463112,0.8558113246738333,,,0,0,0,не принял
2,2,1,26.0,34.0,inf,OK,0,0.6946627579356893,0.617238475610718,0.0774242823249713,0,0.7369447695318433,0.6447233474848255,,,0,0,0,не принял
2,1,2,41.0,49.0,inf,OK,1,0.9644734874418084,0.6593209786274628,0.3051525088143456,0,0.9387748459593356,0.7661314659153626,,,0,0,0,не принял
2,1,3,42.41986906772701,44.71604767466337,43.30063312479729,OK,1,0.8079022367181994,0.4989712089555213,0.308931027762678,1,0.7807540029576439,0.5941173715166042,0.5443106884875367,0.2168529297774012,0,1,0,принял неверно
2,1,4,17.88508271147109,22.803507424823344,inf,OK,1,0.91870000100981,0.7270355234612251,0.1916644775485847,0,0.873396323005716,0.8452193128845642,,,0,0,0,не принял
2,1,5,41.84317767392936,46.08828646420734,44.79337852993332,OK,1,0.8410638034508511,0.6342439546362528,0.2068198488145982,1,0.6597499449690316,0.6232320368092313,0.3528705784744833,0.2186284657787368,0,0,0,успех
2,2,2,27.97138801405865,33.60165390976303,28.18300382520606,OK,0,0.6164376746241974,0.4251054013738657,0.1913322732503317,1,0.9398482541242488,0.8363737426009132,1.0625603672184358,0.9060711099855516,0,1,0,принял неверно
